               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,             0.13388,            0.029914,                   0,             0.46195,              0.2635,             0.25597,            0.085649,             0.12344,             0.03377,                   0,            0.007492,            0.007492,            0.007492
                  78,             0.13309,            0.030974,                   0,             0.44025,             0.25589,             0.23899,             0.08055,             0.12361,            0.035199,                   0,            0.007459,            0.007459,            0.007459
                  79,             0.13333,             0.03036,                   0,             0.44518,             0.26279,             0.24684,            0.078764,             0.12397,            0.033391,                   0,            0.007426,            0.007426,            0.007426
                  80,             0.13173,            0.031272,                   0,             0.45409,             0.26953,              0.2554,            0.086964,             0.12328,            0.033125,                   0,            0.007393,            0.007393,            0.007393
                  81,             0.13305,            0.030923,                   0,             0.47572,              0.2677,             0.26326,            0.090048,              0.1227,            0.033637,                   0,             0.00736,             0.00736,             0.00736
                  82,             0.13284,             0.03128,                   0,             0.44743,             0.26215,             0.24499,            0.080898,             0.12335,             0.03364,                   0,            0.007327,            0.007327,            0.007327
                  83,             0.13448,            0.030869,                   0,             0.44858,             0.26171,             0.24577,            0.082257,             0.12334,            0.033104,                   0,            0.007294,            0.007294,            0.007294
                  84,             0.13196,            0.031411,                   0,             0.45865,             0.27008,             0.25519,            0.082075,             0.12313,            0.032718,                   0,            0.007261,            0.007261,            0.007261
                  85,             0.13327,            0.031593,                   0,             0.46872,             0.26517,             0.25839,            0.082418,             0.12263,             0.03409,                   0,            0.007228,            0.007228,            0.007228
                  86,             0.13185,             0.03138,                   0,             0.48159,             0.27888,             0.27082,            0.095532,             0.12221,            0.034229,                   0,            0.007195,            0.007195,            0.007195
                  87,              0.1323,             0.03144,                   0,             0.46296,             0.27286,             0.26313,            0.090645,             0.12293,            0.032954,                   0,            0.007162,            0.007162,            0.007162
                  88,              0.1317,            0.031946,                   0,             0.46272,             0.27508,             0.26168,            0.085568,             0.12301,            0.032457,                   0,            0.007129,            0.007129,            0.007129
                  89,             0.13267,             0.03048,                   0,             0.48544,             0.28356,              0.2735,            0.092812,             0.12205,            0.034129,                   0,            0.007096,            0.007096,            0.007096
                  90,              0.1316,            0.031962,                   0,              0.4735,             0.28102,             0.27324,            0.091987,             0.12243,            0.032898,                   0,            0.007063,            0.007063,            0.007063
                  91,             0.13211,            0.031116,                   0,              0.4811,             0.28404,             0.28026,            0.096355,             0.12177,            0.033863,                   0,             0.00703,             0.00703,             0.00703
                  92,             0.13134,            0.032259,                   0,             0.47217,             0.28301,             0.27252,            0.094729,             0.12193,            0.033483,                   0,            0.006997,            0.006997,            0.006997
                  93,             0.13136,            0.030656,                   0,             0.46515,             0.28348,             0.26546,            0.088435,             0.12228,            0.034465,                   0,            0.006964,            0.006964,            0.006964
                  94,             0.13286,            0.031435,                   0,             0.47755,             0.28467,             0.27563,            0.093892,             0.12154,            0.033902,                   0,            0.006931,            0.006931,            0.006931
                  95,             0.13172,            0.030715,                   0,             0.47347,              0.2842,             0.27381,            0.091493,             0.12224,            0.032753,                   0,            0.006898,            0.006898,            0.006898
                  96,             0.13228,            0.030603,                   0,             0.46891,             0.29419,             0.27591,            0.090074,             0.12205,            0.033523,                   0,            0.006865,            0.006865,            0.006865
                  97,             0.13089,            0.030898,                   0,             0.48614,             0.28174,             0.26708,            0.087236,              0.1221,            0.034502,                   0,            0.006832,            0.006832,            0.006832
