               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.041022,           0.0073233,                   0,             0.65721,             0.49114,              0.5504,             0.24775,            0.027818,            0.005739,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.041483,           0.0072112,                   0,             0.65021,              0.4956,             0.55123,             0.24686,            0.027828,           0.0057313,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.040573,           0.0074545,                   0,             0.64867,             0.49631,             0.55228,             0.24836,            0.027772,           0.0057296,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.040111,           0.0072879,                   0,             0.65161,             0.49692,             0.55426,             0.24956,            0.027726,           0.0057237,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.040907,           0.0073244,                   0,             0.65469,             0.49802,             0.55631,              0.2508,            0.027699,           0.0057137,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.040381,           0.0071498,                   0,             0.65871,             0.49837,             0.55755,             0.25128,            0.027668,           0.0057031,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.040277,           0.0073366,                   0,             0.65657,             0.50012,             0.55844,             0.25192,            0.027659,            0.005694,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.040317,           0.0072459,                   0,             0.65567,             0.50004,             0.55951,             0.25214,             0.02766,           0.0056903,                   0,            0.007756,            0.007756,            0.007756
                  70,             0.04086,           0.0072748,                   0,             0.65587,             0.50171,             0.56067,             0.25278,            0.027628,           0.0056832,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.040743,           0.0072841,                   0,             0.65376,             0.50424,             0.56248,             0.25428,            0.027556,           0.0056783,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.040195,           0.0072009,                   0,             0.65816,             0.50305,             0.56296,              0.2556,            0.027499,           0.0056743,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.040377,           0.0073034,                   0,             0.65841,             0.50718,             0.56479,             0.25665,            0.027451,           0.0056694,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.040017,             0.00712,                   0,             0.65926,             0.50742,             0.56563,             0.25743,            0.027415,            0.005667,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.040841,            0.007132,                   0,             0.66089,             0.50813,             0.56678,             0.25825,            0.027386,            0.005662,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.040077,           0.0070512,                   0,             0.65656,              0.5098,             0.56692,              0.2594,            0.027329,           0.0056575,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.040136,           0.0072276,                   0,             0.66165,             0.50916,             0.56877,             0.26042,            0.027294,           0.0056526,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.039393,           0.0070821,                   0,             0.66357,             0.51027,             0.57027,             0.26143,            0.027262,           0.0056461,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.040036,           0.0073232,                   0,             0.66264,             0.51205,             0.57102,             0.26199,            0.027226,           0.0056432,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.039889,           0.0071215,                   0,             0.66556,             0.51121,             0.57245,             0.26261,            0.027194,            0.005639,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.039494,           0.0072773,                   0,             0.66566,             0.51202,             0.57435,             0.26336,            0.027159,           0.0056346,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.039267,           0.0071586,                   0,             0.66637,             0.51488,             0.57601,             0.26439,            0.027135,           0.0056309,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.039595,           0.0072926,                   0,             0.66441,             0.51646,              0.5771,             0.26532,            0.027104,           0.0056281,                   0,            0.007294,            0.007294,            0.007294
                  84,             0.03875,           0.0069286,                   0,             0.66447,             0.51783,             0.57819,             0.26618,            0.027082,           0.0056255,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.039574,           0.0070735,                   0,             0.66784,             0.51702,              0.5797,             0.26667,            0.027073,           0.0056215,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.039694,           0.0071467,                   0,             0.66719,             0.51837,             0.58041,              0.2671,            0.027064,           0.0056174,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.039538,           0.0070689,                   0,             0.66676,             0.51805,             0.58035,             0.26682,            0.027051,            0.005613,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.039694,           0.0072923,                   0,              0.6691,             0.51829,             0.58129,              0.2675,            0.027034,           0.0056106,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.038843,           0.0071728,                   0,             0.66977,             0.51844,              0.5821,             0.26807,            0.027003,           0.0056075,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.039237,           0.0069843,                   0,             0.67043,             0.51995,             0.58263,             0.26869,            0.026977,           0.0056053,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.039177,           0.0070849,                   0,             0.67114,             0.52019,             0.58335,             0.26936,            0.026958,           0.0056006,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.038999,           0.0070405,                   0,             0.67173,             0.52159,             0.58432,              0.2699,            0.026934,           0.0056011,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.039178,           0.0071601,                   0,             0.67109,             0.52316,             0.58501,             0.27033,            0.026916,           0.0056003,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.039208,           0.0070918,                   0,             0.67138,             0.52344,             0.58573,              0.2706,            0.026901,            0.005598,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.039374,           0.0071037,                   0,             0.67177,             0.52424,             0.58617,             0.27127,            0.026874,            0.005595,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.039394,            0.007227,                   0,             0.67305,             0.52432,             0.58749,             0.27179,            0.026854,            0.005591,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.038988,           0.0071016,                   0,             0.67516,             0.52297,              0.5886,             0.27232,            0.026834,           0.0055869,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.038625,           0.0069048,                   0,             0.67509,             0.52633,             0.59047,             0.27302,            0.026817,           0.0055823,                   0,            0.006799,            0.006799,            0.006799
                  99,             0.03904,           0.0068536,                   0,             0.67648,             0.52582,             0.59081,             0.27318,            0.026799,           0.0055778,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.038698,           0.0069334,                   0,             0.67696,             0.52668,             0.59132,             0.27386,            0.026773,            0.005574,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.038835,           0.0070373,                   0,              0.6757,             0.52863,             0.59177,             0.27462,            0.026748,           0.0055707,                   0,              0.0067,              0.0067,              0.0067
                 102,             0.03835,           0.0068829,                   0,              0.6775,             0.52865,             0.59249,              0.2751,            0.026721,           0.0055692,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.038762,           0.0068649,                   0,             0.67531,             0.53122,             0.59372,             0.27596,            0.026705,           0.0055656,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.039204,           0.0070546,                   0,             0.67605,             0.53296,             0.59447,             0.27622,            0.026685,           0.0055632,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.038289,           0.0067701,                   0,             0.67678,             0.53257,             0.59522,             0.27662,            0.026662,           0.0055608,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.038057,            0.006871,                   0,             0.67556,             0.53471,             0.59551,             0.27663,            0.026636,           0.0055593,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.038286,           0.0071085,                   0,             0.67736,             0.53498,             0.59647,             0.27702,            0.026611,           0.0055578,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.039141,            0.006951,                   0,             0.67924,             0.53558,             0.59704,             0.27766,             0.02659,           0.0055564,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.038056,           0.0069792,                   0,              0.6795,             0.53757,             0.59816,             0.27817,            0.026574,           0.0055524,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.038287,           0.0070092,                   0,             0.68104,             0.53815,             0.59887,             0.27864,            0.026558,           0.0055515,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.038326,           0.0069118,                   0,             0.68059,             0.53955,             0.59915,             0.27907,            0.026542,            0.005551,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.039051,           0.0069431,                   0,             0.68186,             0.53947,             0.59996,             0.27929,            0.026528,           0.0055479,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.038578,           0.0067194,                   0,             0.67986,             0.54063,             0.60032,             0.27973,            0.026514,           0.0055459,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.038023,           0.0070466,                   0,              0.6837,             0.53898,              0.6011,             0.28058,            0.026497,           0.0055445,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.038483,           0.0071187,                   0,             0.68266,             0.53923,             0.60076,              0.2802,            0.026479,           0.0055453,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.038144,             0.00695,                   0,             0.68572,             0.53915,              0.6024,             0.28076,            0.026461,           0.0055426,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.038932,           0.0070842,                   0,             0.68501,             0.53967,             0.60259,             0.28118,            0.026445,           0.0055396,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.037842,           0.0069363,                   0,             0.68594,             0.54002,             0.60334,             0.28135,            0.026431,           0.0055375,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.039115,           0.0069074,                   0,             0.68551,             0.54137,             0.60391,             0.28177,            0.026412,           0.0055372,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.038563,           0.0069055,                   0,             0.68661,             0.54153,             0.60491,             0.28199,            0.026392,           0.0055368,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.038339,           0.0069166,                   0,             0.68851,             0.54074,             0.60551,             0.28252,            0.026372,           0.0055327,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.038387,           0.0069231,                   0,             0.68984,             0.54129,             0.60582,             0.28302,            0.026354,           0.0055337,                   0,            0.006007,            0.006007,            0.006007
                 123,             0.03867,            0.007006,                   0,             0.69004,             0.54193,             0.60684,             0.28334,            0.026337,           0.0055313,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.037777,           0.0068383,                   0,             0.69202,             0.54217,             0.60807,             0.28359,            0.026317,           0.0055305,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.038059,           0.0070066,                   0,             0.69158,             0.54264,             0.60852,              0.2845,            0.026304,           0.0055297,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.037744,            0.006783,                   0,             0.69151,             0.54248,             0.60893,             0.28441,            0.026283,           0.0055296,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.037917,            0.006596,                   0,             0.69341,             0.54204,             0.60944,             0.28473,            0.026262,           0.0055294,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.038809,           0.0069712,                   0,             0.69189,             0.54304,             0.60957,             0.28499,            0.026245,           0.0055298,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.038118,           0.0066255,                   0,             0.69252,             0.54344,             0.61025,             0.28542,            0.026223,           0.0055266,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.038078,             0.00668,                   0,             0.69473,             0.54362,             0.61106,             0.28582,            0.026205,           0.0055254,                   0,            0.005743,            0.005743,            0.005743
                 131,              0.0375,           0.0067352,                   0,              0.6984,             0.54322,             0.61206,             0.28602,            0.026188,           0.0055216,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.038002,           0.0066913,                   0,             0.70045,             0.54288,             0.61225,             0.28645,            0.026179,           0.0055176,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.038126,           0.0067832,                   0,             0.70247,             0.54383,             0.61359,             0.28708,            0.026171,           0.0055142,                   0,            0.005644,            0.005644,            0.005644
